PRODUCT_INFO_ID,GROUP_PRODUCT_ID,GROUP_PRODUCT_NAME,PRODUCT_CODE,NON_VAT_PRICE_1,VAT_PRICE_1,COMMISSION_1,THRESHOLD_1,NON_VAT_PRICE_2,VAT_PRICE_2,COMMISSION_2,THRESHOLD_2,NON_VAT_PRICE_3,VAT_PRICE_3,PRODUCT_NAME,SPECIFICATION_BACKUP,RAW_PRICE,QUANTITY_SOLD,POWER,WEIGHT,VOLUME
577833,Đèn Năng Lượng Mặt Trời,"đèn năng lượng mặt trời , bộ đèn led năng lượng mặt trời gắn liền tấm pin công suất: 60w.",SMDEN000039,0,0,0,0,0,0,0,0,0,0,Bộ đèn led năng lượng mặt trời gắn liền tấm pin công suất: 60W.,"
• Thời gian chiếu sáng: 10-12 giờ/ngày 
• Thời gian nạp pin: 3-4 giờ/ngày 
• Tuổi thọ đèn: 3-5 năm 
• Tuổi thọ tấm pin NLMT: 10-12 năm 
• Dung lượng pin: 16000 mAh Pin 
• Công nghệ: Lithium photphase chống chai, tuổi thọ lên đến 3-5 năm 
• Chống nước: Đèn nguyên khối được trang bị chống nước IP67 thoả mái để ngoài trời 
• Kích thước đèn: 21x24 cm 
• KT tấm pin NLMT: 35x45 cm 
• Diện tích chiếu sáng: 100 - 120 m2
giá: 617760",617760,21,0,0.0,0.0
577815,Đèn Năng Lượng Mặt Trời,"đèn năng lượng mặt trời , bộ đèn pha led dùng pin năng lượng mặt trời suntek sc-126",SMDEN000053,0,0,0,0,0,0,0,0,0,0,Bộ đèn pha led dùng pin năng lượng mặt trời Suntek SC-126,"
• Công suất định mức: 50W 
• Bảng điều khiển năng lượng mặt trời: Polycrystal 6W 
• Nhiệt độ làm việc: -20C ~ 65C 
• Nhiệt độ màu: 6500K 
• Thời gian chiếu sáng: 5-6h liên tục 
• PIN: 4.500mAh 
• Kích thước đèn: 10 x 17 cm 
• Kích thước tấm năng lượng mặt trời: 13.5 x 2 x 23 Cm 
• Cân nặng: 0.5kg
giá: 286550",286550,23,50,0.5,0.0
577852,Đèn Năng Lượng Mặt Trời,"đèn năng lượng mặt trời , đèn nlmt xách tay 60w",SMSMH000066,0,0,0,0,0,0,0,0,0,0,Đèn NLMT xách Tay 60W,"
• Công suất: 60W 
• Kích thước tấm pin năng lượng mặt trời: 360mm*520mm*17mm 
• Tính năng đèn: kiểm soát ánh sáng + điều khiển đặt thời gian 
• Chất liệu đèn: Nhôm đúc chống oxy hóa + kính cường lực 
• Dung lượng pin :18000 mAH Pin lithium sắt phosphate 
• Bố trí sản phẩm: dây chống nước 5m, điều khiển hẹn thời gian, ốc vít giãn nở 
• Mức độ ánh sáng: Sáng mạnh, sáng yếu 
• Thời gian chiếu sáng: 3h/5h/8h 
• Loại mắt led: 5630/180mắt led Lumen: 2250
giá: 344410",344410,12,60,0.0,0.0
577853,Đèn Năng Lượng Mặt Trời,"đèn năng lượng mặt trời , đèn nlmt xách tay 100w",SMSMH000067,0,0,0,0,0,0,0,0,0,0,Đèn NLMT xách Tay 100W,"
• Công suất: 100w 
• Kích thước tấm năng lượng mặt trời: 300*250 mm 
• Tính năng đèn: kiểm soát ánh sáng + điều khiển đặt thời gian 
• Chất liệu đèn: Nhôm đúc chống oxy hóa + kính cường lực 
• Dung lượng pin: 20.000MAH Pin lithium sắt phosphate 
• Bố trí sản phẩm: dây chống nước 5m, điều khiển hẹn thời gian, ốc vít giãn nở 
• Mức độ ánh sáng: Sáng mạnh, sáng yếu 
• Thời gian chiếu sáng :3h/5h/8h
giá: 407770",407770,16,100,0.0,0.0
577829,Đèn Năng Lượng Mặt Trời,"đèn năng lượng mặt trời , đèn trụ cổng năng lượng mặt trời.model: tc01 plus.",SMDEN000031,0,0,0,0,0,0,0,0,0,0,Đèn trụ cổng năng lượng mặt trời.Model: TC01 plus.,"
• Công suất định mức: 7W 
• Nhiệt độ làm việc: -20C ~ 65C 
• Nhiệt độ màu: 6500K 
• Tuổi thọ bóng đèn LED: 50.000 giờ 
• Chế độ điều khiển: Tích hợp bộ cảm biến ánh sang, tự động bật đèn khi trời tối, tắt đèn khi trời sang + Có điều khiển từ xa. 
• Lớp chống thấm nước: IP-65 
• Thời gian chiếu sáng: 14-16h liên tục 
• PIN: 6.000mAh LifePO4 
• Kích thước: 20 x 20 x 36 Cm(DxRxC), Chân đế: 16x16 Cm 
• Cân nặng: 1.2kg
giá: 534160",534160,34,7,1.2,0.0
577814,Đèn Năng Lượng Mặt Trời,"đèn năng lượng mặt trời , đèn led năng lượng mặt trời suntek gt-01
bảo hành 1 năm",SMDEN000052,0,0,0,0,0,0,0,0,0,0,"Đèn led năng lượng mặt trời SUNTEK GT-01
Bảo hành 1 năm","
• Công suất định mức: 7W 
• Nhiệt độ làm việc: -20C ~ 65C 
• Nhiệt độ màu: 6500K 
• Tuổi thọ bóng đèn LED: 50.000 giờ (tương đương 12 năm) 
• Chế độ điều khiển: Tích hợp bộ cảm biến ánh sang, tự động bật đèn khi trời tối, tắt đèn khi trời sang + Có điều khiển từ xa. 
• Lớp chống thấm nước: IP-65 
• Thời gian chiếu sáng: 15-16h liên tục 
• PIN: 6.000mAh LifePO4 
• Kích thước: 19 x 24 x 26 Cm(DxRxC), Chân đế: 16x16 Cm 
• Cân nặng: 1.2kg
giá: 534160",534160,19,7,1.2,0.0
577862,Đèn Năng Lượng Mặt Trời,"đèn năng lượng mặt trời , đèn nlmt rời thể 1 pha 40w (nhôm)",SMSMH000045,0,0,0,0,0,0,0,0,0,0,Đèn NLMT rời thể 1 pha 40W (Nhôm),"
• Thời gian chiếu sáng: 8-12 giờ/ngày 
• Diện tích chiếu sáng: 40-50 m2 
• Thời gian nạp pin: 3-4 giờ/ngày 
• Tuổi thọ đèn: 3-5 năm 
• Tuổi thọ tấm pin NLMT: 10-12 năm 
• Dung lượng pin: 12800 mAh 
• Mắt LED: siêu sáng 
• Chất liệu đèn: Nhôm đúc nguyên khối + Kính cường lực 
• Tuổi thọ chíp Led: 50.000 giờ 
• Thời gian chiếu sáng khi đầy pin: hơn 12 giờ 
• Tính năng chống sét, chống nước: IP67 
• Phụ kiện: Điều khiển, dây kết nối, giá gắn tấm NLMT, ốc vít 
• Khuyến nghị lắp đặt: Chiều cao: 5-7m
giá: 535590",535590,32,0,0.0,0.0
577859,Đèn Năng Lượng Mặt Trời,"đèn năng lượng mặt trời , đèn nlmt rời thể 1 pha 60w (nhôm)",SMSMH000046,0,0,0,0,0,0,0,0,0,0,Đèn NLMT rời thể 1 pha 60W (Nhôm),"
• Công suất: 60W 
• Tấm Pin: Polysilicon: 10V 
• Kích thước: 349 * 349 * 17mm 
• Pin: Lithium ion Lifepo4 - 3.2V /15000MAH 
• Chip LED: 124 chip LED SMD5730 
• Tuổi thọ: 50.000 giờ (Tương đương 12 năm) 
• Màu ánh sáng: Trắng 
• Góc chiếu sáng: 160 độ 
• Chất liệu: Nhựa + kính cường lực 
• Tiêu chuẩn chống nước: IP67 
• Cảm biến ánh sáng: tối tự sáng - sáng tự tắt 
• Điều khiển: Remote từ xa: tắt/ mở - hẹn giờ - tăng giảm độ sáng 
• Thời gian sạc: 5-8 giờ 
• Thời gian chiếu sáng > 12 giờ
giá: 647240",647240,27,60,0.0,0.0
577823,Đèn Năng Lượng Mặt Trời,"đèn năng lượng mặt trời , bộ đèn led năng lượng mặt trời công suất 60w. hiệu: suntek. 
bảo hành 2 năm",SMDEN000043,698200,768020,6982,Giá trị đơn hàng > 10 triệu,713400,784740,14268,Giá trị đơn hàng từ 5-10 triệu,774000,851400,"Bộ đèn led năng lượng mặt trời công suất 60w. Hiệu: SUNTEK. 
Bảo hành 2 năm","
• Công suất định mức: 60W 
• Bảng điều khiển năng lượng mặt trời: Polycrystal 6V/15W 
• Nhiệt độ làm việc: -20C ~ 65C 
• Nhiệt độ màu: 6500K 
• Chế độ điều khiển: Tích hợp bộ cảm biến ánh sáng, tự động bật đèn khi trời tối, tắt đèn khi trời sáng + Có điều khiển từ xa.
giá: 851400",851400,16,60,0.0,0.0
577805,Đèn Năng Lượng Mặt Trời,"đèn năng lượng mặt trời , đèn liền thể nlmt lotus - 90w",SMDEN000071,0,0,0,0,0,0,0,0,0,0,Đèn liền thể NLMT LOTUS - 90W,"
• Kích thước đèn: 630 x 250 x70 mm 
• Nguồn điện danh định: Năng lượng mặt trời 
• Góc chùm tia: 300 độ 
• Tuổi thọ đèn: 15000h 
• Chu kỳ tắt/bật: không giới hạn số lần 
• Công suất: 90W 
• Dòng điện (Max): 30 mA 
• Hệ số công suất: 0.6
giá: 687940",687940,32,90,0.0,0.0
